 benefit_coverage	 is there a separate deductible for mental health benefits 	 Intent: 	Utterence: 
 benefit_coverage	 deductible for substance abuse services 		
 benefit_coverage	 what is the deductible for mental health 		
 benefit_coverage	 Is there a lifetime cap on mental health care 		
 benefit_coverage	 Behavioral health lifetime limit 		
 benefit_coverage	 Is there a year-over-year limit on rehab expenses? 		
 benefit_coverage	 Lifetime max for mental health 		
 benefit_coverage	 What's the most I could possibly pay if I have to send my son to rehab 		
 benefit_coverage	 Is there a separate annual limit for mental health benefits? 		
 benefit_coverage	 Maximum yearly amount for mental health care 		
 benefit_coverage	 do i need to meet my deductible for preventative care 		
 benefit_coverage	 do i need to meet my deductible for preventive immunizations 		
 benefit_coverage	 does the deductible apply for preventive care 		
 benefit_coverage	 how much do i have to pay before medical insurance will cover my expenses 		
 benefit_coverage	 if i have covered family members under an hsa eligible plan option how do the deductibles work 		
 benefit_coverage	 is there a dollar amount that has to be paid before i go to a doctor 		
 benefit_coverage	 is there a preventive immunization care deductible 		
 benefit_coverage	 tracking my deductable 		
 benefit_coverage	 what is my ded 		
 benefit_coverage	 what is my medical deductable 		
 benefit_coverage	 what is the amount of money i need to meet each year before things are covered 		
 benefit_coverage	 what will i pay after meeting family deductable 		
 benefit_coverage	 why does kaiser only pay for a portion of my procedure costs 		
 benefit_coverage	 are there other deductibles for special services 		
 benefit_coverage	 is there a lifetime limit on any services covered on this plan 		
 benefit_coverage	 is there a lifetime maximum plan benefit 		
 benefit_coverage	 is there a monetary limit for covered services 		
 benefit_coverage	 is there an annual limit on any services covered on this plan 		
 benefit_coverage	 lifetime limit for covered services on plan 		
 benefit_coverage	 annual limit for the consumer choice plan 		
 benefit_coverage	 at what point does the plan pay 100 percent 		
 benefit_coverage	 can what i spend on copays count toward meeting my oopm 		
 benefit_coverage	 can you confirm what the max out of pocket cost for my plan is 		
 benefit_coverage	 does my copay accumulate to meeting my oopm 		
 benefit_coverage	 how do i check my out of pocket blanace 		
 benefit_coverage	 how much will i have to pay out of pocket 		
 benefit_coverage	 how much will i pay out of pocket 		
 benefit_coverage	 i want to know what is the most i could possibly have to pay each year for health care 		
 benefit_coverage	 is there a maximum payment per year for a family 		
 benefit_coverage	 what does my copay accumulate towards 		
 benefit_coverage	 what happens if i meet my out of pocket 		
 benefit_coverage	 what happens if i spend over the out of pocket limit on my health plan 		
 benefit_coverage	 what is an out of pocket max 		
 benefit_coverage	 what is my current oop 		
 benefit_coverage	 what is my oop 		
 benefit_coverage	 what is my out of pocket 		
 benefit_coverage	 what is my out of pocket cost with my kaiser plan 		
 benefit_coverage	 what is my total out of pocket 		
 benefit_coverage	 what is the most i have to pay each year for healthcare 		
 benefit_coverage	 what is the most i might pay for care in a year on my plan 		
 benefit_coverage	 what is the out of pocket limit on my health plan 		
 benefit_coverage	 what would my highest out of pocket be 		
 benefit_coverage	 what would the highest amount i have to pay for in the year be 		
 benefit_coverage	 will my copays accumulate toward something 		
 benefit_coverage	 will paying copays help me reach my out of pocket max 		
 benefit_coverage	 will the plan ever cover 100 percent 		
 benefit_coverage	 will the plan ever pay for everything 		
 benefit_coverage	 what is my pharmacy deductable 		
 benefit_coverage	 can you tell me if there is a different deductible for prescription meds 		
 benefit_coverage	 does the dedictbile include my costs for prescription meds 		
 benefit_coverage	 how much is my deductible for medication 		
 benefit_coverage	 if i need an rx is there a different dedcutible for those do you know 		
 benefit_coverage	 is there a separate deductible for rxs 		
 benefit_coverage	 is there another deductible for the pharmacy 		
 benefit_coverage	 is there any kind of different dollar amount that i have to pay before i get prescriptions 		
 benefit_coverage	 what is my deductible for an rx 		
 benefit_coverage	 what is my deductible for pres meds 		
 benefit_coverage	 what is my pharmacy deductible for my meds 		
 benefit_coverage	 what is the amount for the pharmacy deductible 		
 benefit_coverage	 is there a lifetime max on medication costs? 		
 benefit_coverage	 how much will the play pay per lifetime for prescriptions? 		
 benefit_coverage	 lifetime cap for prescriptions 		
 deductible_oop_inquiry	 mental health deductible 		
 deductible_oop_inquiry	 do behavioral health services apply toward the regular deductible 		
 deductible_oop_inquiry	 What is the out of pocket maximum for substance abuse services? 		
 deductible_oop_inquiry	 Do mental health services apply to the out of pocket max? 		
 deductible_oop_inquiry	 am i close to meeting my deductible 		
 deductible_oop_inquiry	 calendar year or plan year deductible accumulation 		
 deductible_oop_inquiry	 can i meet my deductible with copays 		
 deductible_oop_inquiry	 can i satisfy the whole family deductible myself 		
 deductible_oop_inquiry	 can the full 3000 deductible be met by one participant in the plan 		
 deductible_oop_inquiry	 can what i spend on copays count toward meeting my deductible 		
 deductible_oop_inquiry	 can you see how much i have paid towards my deductable 		
 deductible_oop_inquiry	 can you tell me what my deductible is 		
 deductible_oop_inquiry	 carryover of deductible 		
 deductible_oop_inquiry	 cost to meet in network deductible 		
 deductible_oop_inquiry	 cost to meet out of network deductible 		
 deductible_oop_inquiry	 deductible amount 		
 deductible_oop_inquiry	 deductible based on calendar year or plan year 		
 deductible_oop_inquiry	 deductible limit 		
 deductible_oop_inquiry	 deductible totals 		
 deductible_oop_inquiry	 do i have a deductible 		
 deductible_oop_inquiry	 do i pay 100 percent until i meet the individual deductable 		
 deductible_oop_inquiry	 do you know if i have a deductible that i need to pay thanks 		
 deductible_oop_inquiry	 do you know if i have met my deductible yet 		
 deductible_oop_inquiry	 does deductible carryover 		
 deductible_oop_inquiry	 does my copay accumulate toward my deductible 		
 deductible_oop_inquiry	 does my copay count toward my deductible 		
 deductible_oop_inquiry	 does my deductible accumulate during my calendar year or plan year 		
 deductible_oop_inquiry	 does my deductible need to be met before my plan will pay on claims 		
 deductible_oop_inquiry	 does my plan have an in network deductible 		
 deductible_oop_inquiry	 does my plan have an overall in network deductible 		
 deductible_oop_inquiry	 does paying copays help me reach my overall in network deductible 		
 deductible_oop_inquiry	 family deductable 		
 deductible_oop_inquiry	 has my deductible been met 		
 deductible_oop_inquiry	 have i met m y deductible 		
 deductible_oop_inquiry	 have i met my deductible 		
 deductible_oop_inquiry	 have i reached my deductubles 		
 deductible_oop_inquiry	 have i used my deductible 		
 deductible_oop_inquiry	 hello what is my deductible 		
 deductible_oop_inquiry	 hi can you tell me if i have met my deductible thanks 		
 deductible_oop_inquiry	 hi i thought that i had already met my deductible so why did i get a bill 		
 deductible_oop_inquiry	 how do i find out if i have met my deductable 		
 deductible_oop_inquiry	 how do i meet my deductible 		
 deductible_oop_inquiry	 how do i meet my overall in network deductible 		
 deductible_oop_inquiry	 how do i meet my overall out of network deductible 		
 deductible_oop_inquiry	 how does it work with with my deductible 		
 deductible_oop_inquiry	 how does my deductible work 		
 deductible_oop_inquiry	 how does the deductible work 		
 deductible_oop_inquiry	 how much do i have left on my deductible 		
 deductible_oop_inquiry	 how much do i have to pay before the plan begins to pay 		
 deductible_oop_inquiry	 how much do i have to pay before the plan pays 		
 deductible_oop_inquiry	 how much do i have to spend before i meet my deductible 		
 deductible_oop_inquiry	 how much do i need to spend before meeting my in network deductible 		
 deductible_oop_inquiry	 how much have i paid towards my deductible so far 		
 deductible_oop_inquiry	 how much have i paid towards my deductiblee 		
 deductible_oop_inquiry	 how much is left in my deductible 		
 deductible_oop_inquiry	 how much is left on my deductible 		
 deductible_oop_inquiry	 how much is the deductable 		
 deductible_oop_inquiry	 how much is my deductible 		
 deductible_oop_inquiry	 how much is my non network deductible 		
 deductible_oop_inquiry	 how much of my deductible has been met 		
 deductible_oop_inquiry	 how much of my deductible i have spent already 		
 deductible_oop_inquiry	 i know that i have that amount i have to pay toward medical first can you tell me how much is left to pay 		
 deductible_oop_inquiry	 i need to find out what my deductible balance is do you know 		
 deductible_oop_inquiry	 if i am paying for health services outside of the network is there ways i can save money or it go to my deductible 		
 deductible_oop_inquiry	 in network deductible 		
 deductible_oop_inquiry	 is a deductible on a per surgery basis or once you hit the 2700 deductible you no longer pay 		
 deductible_oop_inquiry	 is the deductible based on the calendar year or plan year 		
 deductible_oop_inquiry	 is there a limit per participant on reaching the maximum family deductible 		
 deductible_oop_inquiry	 is there a preventive care deductible 		
 deductible_oop_inquiry	 is there a deductible on my plan 		
 deductible_oop_inquiry	 must individual meet the family deductible 		
 deductible_oop_inquiry	 my deductible is how much 		
 deductible_oop_inquiry	 my insurance year is july june will costs in may and june count towards this years deductible 		
 deductible_oop_inquiry	 non network deductible 		
 deductible_oop_inquiry	 on my plan what is the deductable amount 		
 deductible_oop_inquiry	 out of network deductible 		
 deductible_oop_inquiry	 uhc only paid a part of my visit even though i met my deductible 		
 deductible_oop_inquiry	 ways to meet my deductible 		
 deductible_oop_inquiry	 wha tis my deductible 		
 deductible_oop_inquiry	 what are my current deductibles 		
 deductible_oop_inquiry	 what are my deductibles 		
 deductible_oop_inquiry	 what are my in network limits 		
 deductible_oop_inquiry	 what are the deductibles 		
 deductible_oop_inquiry	 what counts toward meeting my deductible 		
 deductible_oop_inquiry	 what deductible amount do i have to meet 		
 deductible_oop_inquiry	 what does insurance cover once i meet my deductible 		
 deductible_oop_inquiry	 what happens after deductible has been met 		
 deductible_oop_inquiry	 what helps me meet my deductible 		
 deductible_oop_inquiry	 what is my annual deductible 		
 deductible_oop_inquiry	 what is my current deductible amount 		
 deductible_oop_inquiry	 what is my deductable 		
 deductible_oop_inquiry	 what is my deductibe 		
 deductible_oop_inquiry	 what is my deductible 		
 deductible_oop_inquiry	 what is my family deductible 		
 deductible_oop_inquiry	 what is my health deductible 		
 deductible_oop_inquiry	 what is my individual ded 		
 deductible_oop_inquiry	 what is my individual deductible 		
 deductible_oop_inquiry	 what is my overall deductible 		
 deductible_oop_inquiry	 what is my overall non network deductible 		
 deductible_oop_inquiry	 what is my plan deductible 		
 deductible_oop_inquiry	 what is my plans individual deductible 		
 deductible_oop_inquiry	 what is my preventive deductible 		
 deductible_oop_inquiry	 what is my preventive immunization deductible 		
 deductible_oop_inquiry	 what is my total deductable 		
 deductible_oop_inquiry	 what is the amount for meeting my deductible 		
 deductible_oop_inquiry	 what is the deductible 		
 deductible_oop_inquiry	 what is the deductible on my plan 		
 deductible_oop_inquiry	 what is the deductible this year 		
 deductible_oop_inquiry	 what is the in network deductible 		
 deductible_oop_inquiry	 what is the maximum out of pocket deductable 		
 deductible_oop_inquiry	 what is the out of network deductible amount 		
 deductible_oop_inquiry	 what is the overall deductible 		
 deductible_oop_inquiry	 when does my deductible reset 		
 deductible_oop_inquiry	 where am i with my deductible 		
 deductible_oop_inquiry	 why am i getting bills if i met my deductible 		
 deductible_oop_inquiry	 why did my plan not pay for everything after i met my deductible 		
 deductible_oop_inquiry	 why do i still get a bill after meeting my deductible 		
 deductible_oop_inquiry	 why does insurance only cover part of procedures even after i meet my deductible 		
 deductible_oop_inquiry	 will paying copays help me reach my deductible 		
 deductible_oop_inquiry	 with family coverage does each participant have to contribute a portion towards deductible 		
 deductible_oop_inquiry	 yes can you tell me if i have a deductible or not 		
 deductible_oop_inquiry	 how much is my deductible 		
 deductible_oop_inquiry	 What out of pocket expenses are put toward my deductible 		
 deductible_oop_inquiry	 are there condition specific deductibles 		
 deductible_oop_inquiry	 are there special service deductibles 		
 deductible_oop_inquiry	 do i have to meet a condition specific deductible 		
 deductible_oop_inquiry	 do i have to meet a special service deductible 		
 deductible_oop_inquiry	 does my plan have a condition specific deductible 		
 deductible_oop_inquiry	 how much is my condition specific deductible 		
 deductible_oop_inquiry	 how much is my special services deductible 		
 deductible_oop_inquiry	 what is my condition specific deductible 		
 deductible_oop_inquiry	 what is my special services deductible 		
 deductible_oop_inquiry	 do i have a lifetime maximum 		
 deductible_oop_inquiry	 how do i know when ive met my lifetime maximum 		
 deductible_oop_inquiry	 is there a lifetime plan maximum 		
 deductible_oop_inquiry	 lifetime maximum what is it 		
 deductible_oop_inquiry	 lifetime plan maximum 		
 deductible_oop_inquiry	 plan lifetime maximum 		
 deductible_oop_inquiry	 what is my lifetime maximum 		
 deductible_oop_inquiry	 what is my lifetime maximum on my plan 		
 deductible_oop_inquiry	 amount of my in network out of pocket maximum 		
 deductible_oop_inquiry	 amount of my non network out of pocket maximum 		
