 deductible_oop_inquiry	 mental health deductible 		
 deductible_oop_inquiry	 do behavioral health services apply toward the regular deductible 		
 deductible_oop_inquiry	 What is the out of pocket maximum for substance abuse services? 		
 deductible_oop_inquiry	 Do mental health services apply to the out of pocket max? 		
 deductible_oop_inquiry	 am i close to meeting my deductible 		
 deductible_oop_inquiry	 calendar year or plan year deductible accumulation 		
 deductible_oop_inquiry	 can i meet my deductible with copays 		
 deductible_oop_inquiry	 can i satisfy the whole family deductible myself 		
 deductible_oop_inquiry	 can the full 3000 deductible be met by one participant in the plan 		
 deductible_oop_inquiry	 can what i spend on copays count toward meeting my deductible 		
 deductible_oop_inquiry	 can you see how much i have paid towards my deductable 		
 deductible_oop_inquiry	 can you tell me what my deductible is 		
 deductible_oop_inquiry	 carryover of deductible 		
 deductible_oop_inquiry	 cost to meet in network deductible 		
 deductible_oop_inquiry	 cost to meet out of network deductible 		
 deductible_oop_inquiry	 deductible amount 		
 deductible_oop_inquiry	 deductible based on calendar year or plan year 		
 deductible_oop_inquiry	 deductible limit 		
 deductible_oop_inquiry	 deductible totals 		
 deductible_oop_inquiry	 do i have a deductible 		
 deductible_oop_inquiry	 do i pay 100 percent until i meet the individual deductable 		
 deductible_oop_inquiry	 do you know if i have a deductible that i need to pay thanks 		
 deductible_oop_inquiry	 do you know if i have met my deductible yet 		
 deductible_oop_inquiry	 does deductible carryover 		
 deductible_oop_inquiry	 does my copay accumulate toward my deductible 		
 deductible_oop_inquiry	 does my copay count toward my deductible 		
 deductible_oop_inquiry	 does my deductible accumulate during my calendar year or plan year 		
 deductible_oop_inquiry	 does my deductible need to be met before my plan will pay on claims 		
 deductible_oop_inquiry	 does my plan have an in network deductible 		
 deductible_oop_inquiry	 does my plan have an overall in network deductible 		
 deductible_oop_inquiry	 does paying copays help me reach my overall in network deductible 		
 deductible_oop_inquiry	 family deductable 		
 deductible_oop_inquiry	 has my deductible been met 		
 deductible_oop_inquiry	 have i met m y deductible 		
 deductible_oop_inquiry	 have i met my deductible 		
 deductible_oop_inquiry	 have i reached my deductubles 		
 deductible_oop_inquiry	 have i used my deductible 		
 deductible_oop_inquiry	 hello what is my deductible 		
 deductible_oop_inquiry	 hi can you tell me if i have met my deductible thanks 		
 deductible_oop_inquiry	 hi i thought that i had already met my deductible so why did i get a bill 		
 deductible_oop_inquiry	 how do i find out if i have met my deductable 		
 deductible_oop_inquiry	 how do i meet my deductible 		
 deductible_oop_inquiry	 how do i meet my overall in network deductible 		
 deductible_oop_inquiry	 how do i meet my overall out of network deductible 		
 deductible_oop_inquiry	 how does it work with with my deductible 		
 deductible_oop_inquiry	 how does my deductible work 		
