ignore_masked,example,example_masked,intent
,What will be my out of pocket cost for the visit?,What will be my out of pocket cost for the MASKING_PROCEDURE_NAME_1?,benefit_coverage
,Are the pumps for diabetes covered? How much do I have to pay to get a new one? The one I have is old so I should probably replace it,Are the pumps for diabetes covered? How much do I have to pay to get a new one? The one I have is old so I should probably replace it,benefit_coverage
,Are there benefit limitations under my plan for MASKING_PROCEDURE_NAME_1?,Are there benefit limitations under my plan for MASKING_PROCEDURE_NAME_1?,benefit_coverage
,Will this lab test be covered 100% as preventive care?,Will this lab test be covered 100% as preventive care?,benefit_coverage
,can i get a colonoscopy,can i get a colonoscopy,benefit_coverage
,How much will an eye MASKING_PROCEDURE_NAME_1 cost,How much will an eye MASKING_PROCEDURE_NAME_1 cost,benefit_coverage
,How much will my copay be to see a dermatologist?,How much will my copay be to see a MASKING_PROVIDER_SPECIALTY_1?,benefit_coverage
,How much will my out of pocket expenses be for my lab work requested by my doctor?,How much will my out of pocket expenses be for my lab work requested by my doctor?,benefit_coverage
,"If I think I need MASKING_PROCEDURE_NAME_1, what do I do next? Do I need my MASKING_PROFESSIONAL_GROUP_1 to talk to my health plan?","If I think I need MASKING_PROCEDURE_NAME_1, what do I do next? Do I need my MASKING_PROFESSIONAL_GROUP_1 to talk to my health plan?",benefit_coverage
,how should I treat a mild sprained ankle?,how should I treat a mild sprained ankle?,benefit_coverage
,"If I want to get genetic testing done because I have a family history of particular diseases, is it covered?","If I want to get MASKING_PROCEDURE_NAME_1 done because I have a family history of particular MASKING_MEDICAL_CONDITION_1, is it covered?",benefit_coverage
,Im looking to see if I can have the MASKING_PROCEDURE_NAME_1 under my eyes removed,Im looking to see if I can have the MASKING_PROCEDURE_NAME_1 under my eyes removed,benefit_coverage
,Im looking to see if I can have the bags under my eyes removed,Im looking to see if I can have the bags under my eyes removed,benefit_coverage
,Is LASIK covered by my plan?,Is LASIK covered by my plan?,benefit_coverage
,Is MASKING_PROCEDURE_NAME_1 covered by my plan?,Is MASKING_PROCEDURE_NAME_1 covered by my plan?,benefit_coverage
,Is MASKING_PROCEDURE_NAME_1 covered for me? How much is it going to cost?,Is MASKING_PROCEDURE_NAME_1 covered for me? How much is it going to cost?,benefit_coverage
,Is MASKING_PROCEDURE_NAME_1 covered under PP with HSA at no cost?,Is MASKING_PROCEDURE_NAME_1 covered under PP with HSA at no cost?,benefit_coverage
,I am having issues with male infertility,I am having issues with male infertility,benefit_coverage
,Also I need a new MASKING_PROCEDURE_NAME_1. How much is that? Does my insurance cover it?,Also I need a new MASKING_PROCEDURE_NAME_1. How much is that? Does my insurance cover it?,benefit_coverage
,Also I need a new insulin pump. How much is that? Does my insurance cover it?,Also I need a new insulin pump. How much is that? Does my insurance cover it?,benefit_coverage
,Am I MASKING_PROCEDURE_NAME_1?,Am I MASKING_PROCEDURE_NAME_1?,benefit_coverage
,Am I covered for a strep throat test?,Am I covered for a strep throat test?,benefit_coverage
,How much does an endoscopy cost out-of-pocket?,How much does an endoscopy cost out-of-pocket?,benefit_coverage
,Can you me tell me about Acupuncture benefits please?,Can you me tell me about Acupuncture benefits please?,benefit_coverage
,Can I have weightloss surgery?,Can I have weightloss surgery?,benefit_coverage
,Can I have weightloss MASKING_PROVIDER_SPECIALTY_1?,Can I have weightloss MASKING_PROVIDER_SPECIALTY_1?,benefit_coverage
,Can I have a colonoscopy at RPA Lagrange Hospital?,Can I have a colonoscopy at RPA Lagrange Hospital?,benefit_coverage
,Can I have a MASKING_PROCEDURE_NAME_1 at MASKING_FACILITY_NAME_1?,Can I have a MASKING_PROCEDURE_NAME_1 at MASKING_FACILITY_NAME_1?,benefit_coverage
,Can I go to MASKING_FACILITY_NAME_1 for procedure ?,Can I go to MASKING_FACILITY_NAME_1 for procedure ?,benefit_coverage
,is my procedure covered by my health insurance,is my procedure covered by my health insurance,benefit_coverage
,Can I get my MASKING_PROCEDURE_NAME_1 checked?,Can I get my MASKING_PROCEDURE_NAME_1 checked?,benefit_coverage
,Can I get an MRI?,Can I get an MRI?,benefit_coverage
,Can I get a new knee under my insurance plan?,Can I get a new knee under my insurance plan?,benefit_coverage
,Can I get a new insulin pump paid for?,Can I get a new insulin pump paid for?,benefit_coverage
,Can I get a new MASKING_PROCEDURE_NAME_1 paid for?,Can I get a new MASKING_PROCEDURE_NAME_1 paid for?,benefit_coverage
