ignore_masked,example,example_masked,intent
,,Is the shingles vaccination covered under my plan?,benefit_coverage
,,can i get a colonoscopy,benefit_coverage
,,What are my benefits when it comes to MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,My wife is 7 months pregnant. Does she qualify to get a Translucency scan?,benefit_coverage
,,I'm going to give MASKING_PROCEDURE_NAME_1,benefit_coverage
,,I'm going to give birth,benefit_coverage
,,I'm pregnant,benefit_coverage
,,I'm pregnant right now and my MASKING_PROFESSIONAL_GROUP_1 suggested I MASKING_PROCEDURE_NAME_4 a MASKING_PROCEDURE_NAME_1. Is that covered by my MASKING_PROCEDURE_NAME_2? How much is that going to cost? And where should I get this done?,benefit_coverage
,,How much would I pay out of pocket for a mammogram?,benefit_coverage
,,What is my expected out of pocket cost for procedure XYZ or surgery ABC?,benefit_coverage
,,What is my expected out of pocket cost for procedure XYZ or MASKING_PROVIDER_SPECIALTY_1 MASKING_PROCEDURE_NAME_2?,benefit_coverage
,,procedure of long bone fracture,benefit_coverage
,,How much will a MASKING_PROCEDURE_NAME_1 be if my MASKING_PROFESSIONAL_GROUP_1 is out of network?,benefit_coverage
,,How much will I pay out of pocket for an abdominal ultrasound?,benefit_coverage
,,I need knee surgery.  Is that covered?,benefit_coverage
,,I need surgery to replace a knee. Is that covered.,benefit_coverage
,,I think I need to have a MASKING_PROCEDURE_NAME_1 done this year. Can you tell me how that will affect my coverage?,benefit_coverage
,,"Are blood work tests for thyroid abnormalities covered? If not, how much does each test cost?",benefit_coverage
,,Are crutches covered by my health insurance ?,benefit_coverage
,,How much is my copay,benefit_coverage
,,How much is the average MASKING_PROCEDURE_NAME_1? Does insurance cover that?,benefit_coverage
,,How do I find out whether my plan covers knee replacement?,benefit_coverage
,,How many MASKING_PROCEDURE_NAME_1 sessions are covered?,benefit_coverage
,,How many MASKING_PROCEDURE_NAME_1 sessions are covered? What is my copay for MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,Is MASKING_PROVIDER_SPECIALTY_1 a covered benefit?,benefit_coverage
,,Is my insurance covered my Cosmetic Surgery and Skin Health Center,benefit_coverage
,,Is my insurance covered my MASKING_PROVIDER_SPECIALTY_1 and MASKING_FACILITY_NAME_1,benefit_coverage
,,How do I find out whether my plan MASKING_PROCEDURE_NAME_2 MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,How much will I have to pay out of pocket for an MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,How much of my MASKING_PROCEDURE_NAME_1 will you cover?,benefit_coverage
,,How much will my out of pocket expenses be for my MASKING_MEDICAL_CONDITION_1 work requested by my MASKING_PROFESSIONAL_GROUP_1?,benefit_coverage
,,My wife is having Routine mammogram at RPA Lagrange Hospital. What is our coverage?,benefit_coverage
,,My kid is 9.  Are his well visits still covered by my insurance?,benefit_coverage
,,My husband needs a flu shot,benefit_coverage
,,My husband is considering Orthopedic surgery,benefit_coverage
,,My doctor mentions that I may need both hips replaced,benefit_coverage
,,My doctor informs me that I need to get a Routine mammogram and I wanted to check if my plan covers me for this?,benefit_coverage
,,My daughter is getting tubes in her ears.  How much will insurance cover vs. my expense?  Are there any hidden fees?,benefit_coverage
,,My daughter has been referred for a Speech/Language evaluation.  Is it a covered benefit?,benefit_coverage
,,My MASKING_PROFESSIONAL_GROUP_1 mentions that I may need both MASKING_PROCEDURE_NAME_1,benefit_coverage
,,How much will I pay out of pocket for an MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,How much will I owe for a certain procedure?,benefit_coverage
,,How much will I have to pay to get my wisdom teeth removed?,benefit_coverage
,,"If I think I need knee surgery, what do I do next? Do I need my doctor to talk to my health plan?",benefit_coverage
,,I want to MASKING_PROCEDURE_NAME_1 my MASKING_PROFESSIONAL_GROUP_1 to see if I am healthy,benefit_coverage
,,I want to find out what level of benefits I have for MASKING_PROCEDURE_NAME_1 and MASKING_PROVIDER_SPECIALTY_1,benefit_coverage
,,can you explain what benefits are available for acupunture please?,benefit_coverage
,,want to know if MASKING_PROCEDURE_NAME_1 are part of my benefits under my present insurance.,benefit_coverage
,,"I have already had MASKING_NUMBER_a xrays this year,  how many more am I eligible for?",benefit_coverage
,,"I have already had MASKING_NUMBER_a xrays this year, how many more am I eligible for?",benefit_coverage
,,is my procedure covered by my health insurance,benefit_coverage
,,Can I get my MASKING_PROCEDURE_NAME_1 checked?,benefit_coverage
,,How much will I have to pay to get my MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,How much will I have to pay out of pocket for lab work?,benefit_coverage
,,How much will I have to pay out of pocket for an MRI?,benefit_coverage
,,How much will my copay be to see a MASKING_PROVIDER_SPECIALTY_1?,benefit_coverage
,,How much will my copay be to see a dermatologist?,benefit_coverage
,,How much will my out of pocket expenses be for my lab work requested by my doctor?,benefit_coverage
,,"If I think I need MASKING_PROCEDURE_NAME_1, what do I do next? Do I need my MASKING_PROFESSIONAL_GROUP_1 to talk to my health plan?",benefit_coverage
,,how should I treat a mild sprained ankle?,benefit_coverage
,,"If I want to get MASKING_PROCEDURE_NAME_1 done because I have a family history of particular MASKING_MEDICAL_CONDITION_1, is it covered?",benefit_coverage
,,Is a MASKING_PROCEDURE_NAME_1 covered,benefit_coverage
,,internal medicine,benefit_coverage
,,MASKING_MEDICAL_CONDITION_1 and septic shock procedure cost,benefit_coverage
,,MASKING_PERSON_NAME_1 my insurance cover a MASKING_PROCEDURE_NAME_1 completely or partially?,benefit_coverage
,,MASKING_PERSON_NAME_1 there be a deductible for this procedure?,benefit_coverage
,,MASKING_PROCEDURE_NAME_1,benefit_coverage
,,How often should I get a colonoscopy?,benefit_coverage
,,What is my MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,What MASKING_PROCEDURE_NAME_1 does my policy cover?,benefit_coverage
,,Want to get MRI by Dr. Rumancik,benefit_coverage
,,Want to get MASKING_PROCEDURE_NAME_1 by Dr. MASKING_PERSON_NAME_1,benefit_coverage
,,"Under my present insurance, can I get a nuchal translucency scan",benefit_coverage
,,"Under my present insurance, can I get a MASKING_PROCEDURE_NAME_1",benefit_coverage
,,How much will an eye check up cost,benefit_coverage
,,Am I covered for anything?,benefit_coverage
,,Am I elegible to have a MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,Am I elegible to have a total knee replacement?,benefit_coverage
,,Am I eligible for my MASKING_PROCEDURE_NAME_1 MASKING_PROCEDURE_NAME_2?,benefit_coverage
,,Do you cover mental health benefits?,benefit_coverage
,,Do I have to pay for flu shots or are they covered?,benefit_coverage
,,MASKING_PROVIDER_SPECIALTY_1,benefit_coverage
,,My MASKING_DEPENDENT_RELATIONSHIP_1 has been MASKING_PROCEDURE_NAME_1.  Is it a covered benefit?,benefit_coverage
,,My MASKING_DEPENDENT_RELATIONSHIP_1 is MASKING_NUMBER_a.  Are his well MASKING_PROCEDURE_NAME_1 still covered by my insurance?,benefit_coverage
,,My MASKING_DEPENDENT_RELATIONSHIP_1 is considering MASKING_PROVIDER_SPECIALTY_1,benefit_coverage
,,Can I get an MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,What will be my out of pocket cost for the MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,Can I get an MRI?,benefit_coverage
,,Is the MASKING_PROCEDURE_NAME_1 covered under my plan?,benefit_coverage
,,Is the MASKING_PROVIDER_SPECIALTY_1 covered under my plan?,benefit_coverage
,,"Are blood work MASKING_PROCEDURE_NAME_1? If not, how much does each MASKING_PROCEDURE_NAME_5 cost?",benefit_coverage
,,Does my insurance cover knee replacement?,benefit_coverage
,,Does my insurance cover nuchal translucency MASKING_PROCEDURE_NAME_1? Also does it cover MASKING_PROCEDURE_NAME_1? How much will I have to pay for both?,benefit_coverage
,,Does my health insurance cover cosmetic treatments at the dermatologist?,benefit_coverage
,,Does my health insurance cover cavity fillings at the dentist?,benefit_coverage
,,Does my health insurance cover a dermatologist?,benefit_coverage
,,Does my MASKING_PROCEDURE_NAME_1 have to be with an RMT for it to be covered?,benefit_coverage
,,Does my MASKING_PROCEDURE_NAME_1 cover a MASKING_PROVIDER_SPECIALTY_1?,benefit_coverage
,,Does my MASKING_PROCEDURE_NAME_1 cover MASKING_PROCEDURE_NAME_6 MASKING_PROCEDURE_NAME_3 at the MASKING_PROVIDER_SPECIALTY_1?,benefit_coverage
,,What percentage will my insurance pay of this procedure?,benefit_coverage
,,Can I get a new knee under my insurance plan?,benefit_coverage
,,Can I get a new insulin pump paid for?,benefit_coverage
,,Can I get a new MASKING_PROCEDURE_NAME_1 paid for?,benefit_coverage
,,Can I get a breast pump under my insurance?,benefit_coverage
,,Can I get a MASKING_PROCEDURE_NAME_1 under my insurance?,benefit_coverage
,,Are you able to tell me about the services for pregnant women?,benefit_coverage
,,Are voluntary reproductive health procedures covered?,benefit_coverage
,,Are voluntary MASKING_PROVIDER_SPECIALTY_1 MASKING_PROCEDURE_NAME_2 covered?,benefit_coverage
,,Are there benefit limitations under my plan for physical therapy treatments?,benefit_coverage
,,What types of MASKING_PROCEDURE_NAME_1 are covered by my plan?,benefit_coverage
,,What procedures are covered under a regular check-up?,benefit_coverage
,,What is my deductible for an in-MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,Will there be a deductible for this procedure?,benefit_coverage
,,I'd like to know how much I need to pay for a doctor visit,benefit_coverage
,,I would like to make an enquiry regarding a hip replacement please,benefit_coverage
,,I would like to make an enquiry regarding a MASKING_PROCEDURE_NAME_1 please,benefit_coverage
,,My MASKING_DEPENDENT_RELATIONSHIP_1 is having MASKING_PROCEDURE_NAME_1 at MASKING_FACILITY_NAME_1. What is our coverage?,benefit_coverage
,,question about how to get MASKING_PROCEDURE_NAME_1 done,benefit_coverage
,,question about how to get mri done,benefit_coverage
,,question of MASKING_PROCEDURE_NAME_1,benefit_coverage
,,question of yearly checkup,benefit_coverage
,,quick question about MASKING_PROCEDURE_NAME_1,benefit_coverage
,,quick question about mammogram,benefit_coverage
,,What MASKING_PROCEDURE_NAME_3 are covered under a MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,Can I go to MASKING_FACILITY_NAME_1 for procedure ?,benefit_coverage
,,What is my co-pay for specialist visits?,benefit_coverage
,,What is my co-pay for specialist MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,How much will the procedure cost me out of pocket?,benefit_coverage
,,How much will this cost?,benefit_coverage
,,How much would I pay for MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,What prenatal care does my policy cover?,benefit_coverage
,,"Hello, can you please tell me if I have cover for MASKING_PROCEDURE_NAME_1?",benefit_coverage
,,How much will I have to pay out of pocket for MASKING_MEDICAL_CONDITION_1 work?,benefit_coverage
,,How much out of pocket costs will I have to pay for an x-ray?,benefit_coverage
,,How much out of pocket costs will I have to pay for an MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,Are glasses covered?,benefit_coverage
,,Are eye exams included in my insurance?,benefit_coverage
,,Are dental xrays covered with my medical imaging insurance?,benefit_coverage
,,How much of my MRI scan will you cover?,benefit_coverage
,,Where can I get a new insulin pump?,benefit_coverage
,,What kind of doctor do I need to see to have my strep test covered by Insurance?,benefit_coverage
,,what will my coverage pay for the rehab my doctor recommended?,benefit_coverage
,,will my insurance cover 100% of the cost of the proceedure,benefit_coverage
,,My MASKING_DEPENDENT_RELATIONSHIP_1 is MASKING_NUMBER_a months pregnant. Does she qualify to get a MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,will my insurance cover MASKING_NUMBER_a% of the cost of the proceedure,benefit_coverage
,,"Hello, can you please tell me if I have cover for Influenza?",benefit_coverage
,,How much does an H. pylori breath test cost?,benefit_coverage
,,How much does an MASKING_PROCEDURE_NAME_1 cost out-of-pocket?,benefit_coverage
,,How will my insurance cover a nuchal translucency scan?,benefit_coverage
,,I am having MASKING_PROVIDER_SPECIALTY_1 at MASKING_FACILITY_NAME_1.? Can you tell me my coverage?,benefit_coverage
,,I am having issues with MASKING_PROCEDURE_NAME_1,benefit_coverage
,,If I need to get a root canal is this covered by my insurance,benefit_coverage
,,i need an MASKING_PROCEDURE_NAME_1 of my boobs,benefit_coverage
,,i need an xray of my boobs,benefit_coverage
,,Does my insurance cover talking to a MASKING_PROFESSIONAL_GROUP_1?,benefit_coverage
,,Does my insurance cover talking to a therapist?,benefit_coverage
,,Does my insurance cover this procedure?,benefit_coverage
